Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29,43.96875,43.96875,43.75,43.9375,24.11326789855957,1003200,0.0,0.0,0.0
1993-02-01,43.96875,44.25,43.96875,44.25,24.284761428833008,480500,0.0,0.0,0.0
1993-02-02,44.21875,44.375,44.125,44.34375,24.33621597290039,201300,0.0,0.0,0.0
1993-02-03,44.40625,44.84375,44.375,44.8125,24.59347152709961,529400,0.0,0.0,0.0
1993-02-04,44.96875,45.09375,44.46875,45.0,24.696369171142578,531500,0.0,0.0,0.0
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.679214477539062,492100,0.0,0.0,0.0
1993-02-08,44.96875,45.125,44.90625,44.96875,24.679214477539062,596100,0.0,0.0,0.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.507720947265625,122100,0.0,0.0,0.0
1993-02-10,44.65625,44.75,44.53125,44.71875,24.542020797729492,379600,0.0,0.0,0.0
1993-02-11,44.78125,45.125,44.78125,44.9375,24.662057876586914,19500,0.0,0.0,0.0
1993-02-12,44.875,44.875,44.59375,44.59375,24.473421096801758,42500,0.0,0.0,0.0
1993-02-16,44.46875,44.46875,43.40625,43.46875,23.856008529663086,374800,0.0,0.0,0.0
1993-02-17,43.46875,43.53125,43.28125,43.4375,23.838855743408203,210900,0.0,0.0,0.0
1993-02-18,43.9375,43.9375,42.8125,43.40625,23.82171058654785,378100,0.0,0.0,0.0
1993-02-19,43.40625,43.5625,43.34375,43.5625,23.907468795776367,34900,0.0,0.0,0.0
1993-02-22,43.6875,43.78125,43.5625,43.71875,23.99321746826172,513600,0.0,0.0,0.0
1993-02-23,43.84375,43.875,43.46875,43.6875,23.976058959960938,373700,0.0,0.0,0.0
1993-02-24,43.71875,44.25,43.71875,44.25,24.284761428833008,26300,0.0,0.0,0.0
1993-02-25,44.21875,44.375,44.125,44.34375,24.33621597290039,44500,0.0,0.0,0.0
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.370515823364258,66200,0.0,0.0,0.0
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.301908493041992,66500,0.0,0.0,0.0
1993-03-02,44.3125,44.9375,44.25,44.9375,24.662057876586914,182400,0.0,0.0,0.0
1993-03-03,45.0,45.15625,44.9375,45.125,24.76495933532715,280100,0.0,0.0,0.0
1993-03-04,45.1875,45.1875,44.875,44.875,24.627763748168945,89500,0.0,0.0,0.0
1993-03-05,44.9375,45.125,44.71875,44.75,24.559160232543945,40000,0.0,0.0,0.0
1993-03-08,44.84375,45.75,44.84375,45.75,25.10797691345215,50800,0.0,0.0,0.0
1993-03-09,45.65625,45.6875,45.5,45.59375,25.0222225189209,169300,0.0,0.0,0.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.073680877685547,194400,0.0,0.0,0.0
1993-03-11,45.71875,45.84375,45.5,45.5625,25.005062103271484,70900,0.0,0.0,0.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.747819900512695,643600,0.0,0.0,0.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,24.867881774902344,310800,0.0,0.0,0.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,24.867881774902344,30800,0.0,0.0,0.0
1993-03-17,45.25,45.25,44.96875,45.03125,24.713523864746094,21800,0.0,0.0,0.0
1993-03-18,45.21875,45.5,45.21875,45.3125,24.867881774902344,59300,0.0,0.0,0.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,24.83024024963379,66900,0.213,0.0,0.0
1993-03-22,44.59375,44.875,44.5625,44.78125,24.692394256591797,183400,0.0,0.0,0.0
1993-03-23,44.90625,44.9375,44.8125,44.875,24.744081497192383,55200,0.0,0.0,0.0
1993-03-24,44.8125,45.0625,44.59375,44.875,24.744081497192383,37200,0.0,0.0,0.0
1993-03-25,44.90625,45.25,44.84375,45.15625,24.899169921875,110100,0.0,0.0,0.0
1993-03-26,45.125,45.15625,44.875,44.90625,24.76131248474121,101500,0.0,0.0,0.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,24.864700317382812,87100,0.0,0.0,0.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,24.933629989624023,56000,0.0,0.0,0.0
1993-03-31,45.34375,45.46875,45.1875,45.1875,24.916383743286133,111600,0.0,0.0,0.0
1993-04-01,45.25,45.25,44.9375,45.03125,24.83024024963379,129500,0.0,0.0,0.0
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.31330680847168,59400,0.0,0.0,0.0
1993-04-05,44.4375,44.4375,44.1875,44.3125,24.433917999267578,172200,0.0,0.0,0.0
1993-04-06,44.40625,44.40625,44.0625,44.1875,24.364986419677734,129700,0.0,0.0,0.0
1993-04-07,44.25,44.34375,44.15625,44.34375,24.451154708862305,28000,0.0,0.0,0.0
1993-04-08,44.53125,44.53125,44.09375,44.28125,24.416683197021484,180800,0.0,0.0,0.0
1993-04-12,44.71875,44.9375,44.65625,44.90625,24.76131248474121,348500,0.0,0.0,0.0
1993-04-13,44.875,45.15625,44.84375,45.0,24.81300926208496,146100,0.0,0.0,0.0
1993-04-14,45.03125,45.0625,44.90625,44.9375,24.778541564941406,119600,0.0,0.0,0.0
1993-04-15,44.90625,45.03125,44.75,44.9375,24.778541564941406,148600,0.0,0.0,0.0
1993-04-16,44.96875,45.03125,44.875,44.9375,24.778541564941406,47900,0.0,0.0,0.0
1993-04-19,44.9375,45.0625,44.71875,44.75,24.67515754699707,157000,0.0,0.0,0.0
1993-04-20,44.6875,44.75,44.25,44.53125,24.554529190063477,279500,0.0,0.0,0.0
1993-04-21,44.625,44.625,44.375,44.5,24.53729820251465,67900,0.0,0.0,0.0
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.227142333984375,97700,0.0,0.0,0.0
1993-04-23,43.84375,43.96875,43.6875,43.75,24.123769760131836,106000,0.0,0.0,0.0
1993-04-26,43.78125,43.9375,43.28125,43.40625,23.934213638305664,62600,0.0,0.0,0.0
1993-04-27,43.34375,43.875,43.34375,43.875,24.192689895629883,156800,0.0,0.0,0.0
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.14097785949707,85900,0.0,0.0,0.0
1993-04-29,43.875,43.96875,43.625,43.96875,24.24437713623047,85000,0.0,0.0,0.0
1993-04-30,44.125,44.28125,44.03125,44.03125,24.27883529663086,88500,0.0,0.0,0.0
1993-05-03,44.09375,44.3125,43.90625,44.3125,24.433917999267578,80500,0.0,0.0,0.0
1993-05-04,44.40625,44.625,44.34375,44.46875,24.520078659057617,149100,0.0,0.0,0.0
1993-05-05,44.46875,44.75,44.46875,44.59375,24.58902931213379,109000,0.0,0.0,0.0
1993-05-06,44.53125,44.5625,44.40625,44.4375,24.502849578857422,54700,0.0,0.0,0.0
1993-05-07,44.46875,44.46875,44.28125,44.34375,24.451154708862305,68000,0.0,0.0,0.0
1993-05-10,44.40625,44.6875,44.40625,44.4375,24.502849578857422,113900,0.0,0.0,0.0
1993-05-11,44.4375,44.625,44.3125,44.625,24.606224060058594,42600,0.0,0.0,0.0
1993-05-12,44.4375,44.59375,44.4375,44.5625,24.57177734375,31000,0.0,0.0,0.0
1993-05-13,44.375,44.375,44.0,44.03125,24.27883529663086,129100,0.0,0.0,0.0
1993-05-14,44.03125,44.15625,43.96875,44.0,24.261594772338867,63500,0.0,0.0,0.0
1993-05-17,44.125,44.15625,43.9375,44.15625,24.347761154174805,34000,0.0,0.0,0.0
